ID:9936 SKID:BK0+942.5  timeStamp:2025-03-28 08:08:56:514
ID:9936 SKID:BK0+943.5  timeStamp:2025-03-28 08:08:56:696
ID:9936 SKID:BK0+945  timeStamp:2025-03-28 08:08:56:875
ID:9936 SKID:BK0+946.5  timeStamp:2025-03-28 08:08:57:77
ID:9936 SKID:BK0+947.5  timeStamp:2025-03-28 08:08:57:262
ID:9936 SKID:BK0+948.5  timeStamp:2025-03-28 08:08:57:447
ID:9936 SKID:BK0+950  timeStamp:2025-03-28 08:08:57:637
ID:9936 SKID:BK0+951.5  timeStamp:2025-03-28 08:08:57:820
ID:9936 SKID:BK0+952.5  timeStamp:2025-03-28 08:08:57:999
ID:9936 SKID:BK0+954  timeStamp:2025-03-28 08:08:58:178
ID:9936 SKID:BK0+955  timeStamp:2025-03-28 08:08:58:357
ID:9936 SKID:BK0+956.5  timeStamp:2025-03-28 08:08:58:540
ID:9936 SKID:BK0+957.5  timeStamp:2025-03-28 08:08:58:723
ID:9936 SKID:BK0+959  timeStamp:2025-03-28 08:08:58:898
ID:9936 SKID:BK0+960  timeStamp:2025-03-28 08:08:59:359
ID:9936 SKID:BK0+961.5  timeStamp:2025-03-28 08:08:59:624
ID:9936 SKID:BK0+962.5  timeStamp:2025-03-28 08:08:59:804
ID:9936 SKID:BK0+964  timeStamp:2025-03-28 08:08:59:989
ID:9936 SKID:BK0+965  timeStamp:2025-03-28 08:09:00:168
ID:9936 SKID:BK0+966  timeStamp:2025-03-28 08:09:00:345
ID:9936 SKID:BK0+967.5  timeStamp:2025-03-28 08:09:00:528
ID:9936 SKID:BK0+969  timeStamp:2025-03-28 08:09:00:700
ID:9936 SKID:BK0+970  timeStamp:2025-03-28 08:09:00:876
ID:9936 SKID:BK0+971.5  timeStamp:2025-03-28 08:09:01:50
ID:9936 SKID:BK0+973  timeStamp:2025-03-28 08:09:01:226
ID:9936 SKID:BK0+974  timeStamp:2025-03-28 08:09:01:410
ID:9936 SKID:BK0+975  timeStamp:2025-03-28 08:09:01:587
ID:9936 SKID:BK0+976.5  timeStamp:2025-03-28 08:09:01:764
ID:9936 SKID:BK0+977.5  timeStamp:2025-03-28 08:09:01:967
ID:9936 SKID:BK0+979  timeStamp:2025-03-28 08:09:02:144
ID:9936 SKID:BK0+980  timeStamp:2025-03-28 08:09:02:330
ID:9936 SKID:BK0+981  timeStamp:2025-03-28 08:09:02:506
ID:9936 SKID:BK0+982.5  timeStamp:2025-03-28 08:09:02:693
ID:9936 SKID:BK0+983.5  timeStamp:2025-03-28 08:09:02:872
ID:9936 SKID:BK0+985  timeStamp:2025-03-28 08:09:03:57
ID:9936 SKID:BK0+986.5  timeStamp:2025-03-28 08:09:03:240
ID:9936 SKID:BK0+987.5  timeStamp:2025-03-28 08:09:03:417
ID:9936 SKID:BK0+988.5  timeStamp:2025-03-28 08:09:03:599
ID:9936 SKID:BK0+990  timeStamp:2025-03-28 08:09:03:776
ID:9936 SKID:BK0+991  timeStamp:2025-03-28 08:09:03:963
ID:9936 SKID:BK0+992.5  timeStamp:2025-03-28 08:09:04:145
ID:9936 SKID:BK0+994  timeStamp:2025-03-28 08:09:04:327
ID:9936 SKID:BK0+995  timeStamp:2025-03-28 08:09:04:511
ID:9936 SKID:BK0+996  timeStamp:2025-03-28 08:09:04:695
ID:9936 SKID:BK0+997.5  timeStamp:2025-03-28 08:09:04:891
ID:9936 SKID:BK0+998.5  timeStamp:2025-03-28 08:09:05:73
ID:9936 SKID:BK1+0  timeStamp:2025-03-28 08:09:05:249
ID:9936 SKID:BK1+1  timeStamp:2025-03-28 08:09:05:430
ID:9936 SKID:BK1+2.5  timeStamp:2025-03-28 08:09:05:618
ID:9936 SKID:BK1+3.5  timeStamp:2025-03-28 08:09:05:802
ID:9936 SKID:BK1+6  timeStamp:2025-03-28 08:09:06:163
ID:9936 SKID:BK1+5  timeStamp:2025-03-28 08:09:05:989
ID:9936 SKID:BK1+7.5  timeStamp:2025-03-28 08:09:06:331
ID:9936 SKID:BK1+9  timeStamp:2025-03-28 08:09:06:499
ID:9936 SKID:BK1+10  timeStamp:2025-03-28 08:09:06:672
ID:9936 SKID:BK1+11.5  timeStamp:2025-03-28 08:09:06:850
ID:9936 SKID:BK1+12.5  timeStamp:2025-03-28 08:09:07:31
ID:9936 SKID:BK1+14  timeStamp:2025-03-28 08:09:07:205
ID:9936 SKID:BK1+15  timeStamp:2025-03-28 08:09:07:679
ID:9936 SKID:BK1+16.5  timeStamp:2025-03-28 08:09:07:916
ID:9936 SKID:BK1+17.5  timeStamp:2025-03-28 08:09:08:86
ID:9936 SKID:BK1+19  timeStamp:2025-03-28 08:09:08:254
ID:9936 SKID:BK1+20  timeStamp:2025-03-28 08:09:08:421
ID:9936 SKID:BK1+21.5  timeStamp:2025-03-28 08:09:08:591
ID:9936 SKID:BK1+22.5  timeStamp:2025-03-28 08:09:08:764
ID:9936 SKID:BK1+24  timeStamp:2025-03-28 08:09:08:938
ID:9936 SKID:BK1+25  timeStamp:2025-03-28 08:09:09:107
ID:9936 SKID:BK1+26.5  timeStamp:2025-03-28 08:09:09:294
ID:9936 SKID:BK1+28  timeStamp:2025-03-28 08:09:09:468
ID:9936 SKID:BK1+29  timeStamp:2025-03-28 08:09:09:637
ID:9936 SKID:BK1+30.5  timeStamp:2025-03-28 08:09:09:814
ID:9936 SKID:BK1+31.5  timeStamp:2025-03-28 08:09:09:986
ID:9936 SKID:BK1+33  timeStamp:2025-03-28 08:09:10:155
ID:9936 SKID:BK1+34  timeStamp:2025-03-28 08:09:10:324
ID:9936 SKID:BK1+35.5  timeStamp:2025-03-28 08:09:10:502
ID:9936 SKID:BK1+37  timeStamp:2025-03-28 08:09:10:675
ID:9936 SKID:BK1+38  timeStamp:2025-03-28 08:09:10:852
ID:9936 SKID:BK1+39  timeStamp:2025-03-28 08:09:11:34
ID:9936 SKID:BK1+40.5  timeStamp:2025-03-28 08:09:11:206
ID:9936 SKID:BK1+42  timeStamp:2025-03-28 08:09:11:374
ID:9936 SKID:BK1+43  timeStamp:2025-03-28 08:09:11:545
ID:9936 SKID:BK1+44.5  timeStamp:2025-03-28 08:09:11:712
ID:9936 SKID:BK1+45.5  timeStamp:2025-03-28 08:09:11:883
ID:9936 SKID:BK1+47  timeStamp:2025-03-28 08:09:12:51
ID:9936 SKID:BK1+48  timeStamp:2025-03-28 08:09:12:222
ID:9936 SKID:BK1+49.5  timeStamp:2025-03-28 08:09:12:392
ID:9936 SKID:BK1+51  timeStamp:2025-03-28 08:09:12:561
ID:9936 SKID:BK1+52  timeStamp:2025-03-28 08:09:12:728
ID:9936 SKID:BK1+53.5  timeStamp:2025-03-28 08:09:12:894
