ID:9943 SKID:AK1+222.5  timeStamp:2025-03-28 08:08:46:688
ID:9943 SKID:AK1+222.5  timeStamp:2025-03-28 08:08:46:870
ID:9943 SKID:AK1+222.5  timeStamp:2025-03-28 08:08:47:40
ID:9943 SKID:AK1+222.5  timeStamp:2025-03-28 08:08:47:213
ID:9943 SKID:AK1+222.5  timeStamp:2025-03-28 08:08:47:395
ID:9943 SKID:AK1+222.5  timeStamp:2025-03-28 08:08:47:562
ID:9943 SKID:AK1+222.5  timeStamp:2025-03-28 08:08:47:734
ID:9943 SKID:AK1+222.5  timeStamp:2025-03-28 08:08:47:902
ID:9943 SKID:AK1+222.5  timeStamp:2025-03-28 08:08:48:87
ID:9943 SKID:AK1+222.5  timeStamp:2025-03-28 08:08:48:274
ID:9943 SKID:AK1+222.5  timeStamp:2025-03-28 08:08:48:464
ID:9943 SKID:AK1+222.5  timeStamp:2025-03-28 08:08:48:646
ID:9943 SKID:AK1+222.5  timeStamp:2025-03-28 08:08:48:838
ID:9943 SKID:AK1+222.5  timeStamp:2025-03-28 08:08:49:06
ID:9943 SKID:AK1+222.5  timeStamp:2025-03-28 08:08:49:176
ID:9943 SKID:AK1+222.5  timeStamp:2025-03-28 08:08:49:356
ID:9943 SKID:AK1+222.5  timeStamp:2025-03-28 08:08:49:521
ID:9943 SKID:AK1+222.5  timeStamp:2025-03-28 08:08:49:697
ID:9943 SKID:AK1+222.5  timeStamp:2025-03-28 08:08:49:867
ID:9943 SKID:AK1+222.5  timeStamp:2025-03-28 08:08:50:47
ID:9943 SKID:AK1+222.5  timeStamp:2025-03-28 08:08:50:217
ID:9943 SKID:AK1+222.5  timeStamp:2025-03-28 08:08:50:393
ID:9943 SKID:AK1+222.5  timeStamp:2025-03-28 08:08:50:575
ID:9943 SKID:AK1+222.5  timeStamp:2025-03-28 08:08:50:746
ID:9943 SKID:AK1+222.5  timeStamp:2025-03-28 08:08:51:201
ID:9943 SKID:AK1+222.5  timeStamp:2025-03-28 08:08:51:447
ID:9943 SKID:AK1+222.5  timeStamp:2025-03-28 08:08:51:618
ID:9943 SKID:AK1+222.5  timeStamp:2025-03-28 08:08:51:786
ID:9943 SKID:AK1+222.5  timeStamp:2025-03-28 08:08:51:952
ID:9943 SKID:AK1+222.5  timeStamp:2025-03-28 08:08:52:123
ID:9943 SKID:AK1+222.5  timeStamp:2025-03-28 08:08:52:290
ID:9943 SKID:AK1+222.5  timeStamp:2025-03-28 08:08:52:462
ID:9943 SKID:AK1+222.5  timeStamp:2025-03-28 08:08:52:639
ID:9943 SKID:AK1+222.5  timeStamp:2025-03-28 08:08:52:820
ID:9943 SKID:AK1+222.5  timeStamp:2025-03-28 08:08:53:01
ID:9943 SKID:AK1+222.5  timeStamp:2025-03-28 08:08:53:190
ID:9943 SKID:AK1+222.5  timeStamp:2025-03-28 08:08:53:372
ID:9943 SKID:AK1+222.5  timeStamp:2025-03-28 08:08:53:550
ID:9943 SKID:AK1+222.5  timeStamp:2025-03-28 08:08:53:736
ID:9943 SKID:AK1+222.5  timeStamp:2025-03-28 08:08:53:928
ID:9943 SKID:AK1+222.5  timeStamp:2025-03-28 08:08:54:113
ID:9943 SKID:AK1+222.5  timeStamp:2025-03-28 08:08:54:293
ID:9943 SKID:AK1+222.5  timeStamp:2025-03-28 08:08:54:482
ID:9943 SKID:AK1+222.5  timeStamp:2025-03-28 08:08:54:667
ID:9943 SKID:AK1+222.5  timeStamp:2025-03-28 08:08:54:854
ID:9943 SKID:AK1+222.5  timeStamp:2025-03-28 08:08:55:38
ID:9943 SKID:AK1+222.5  timeStamp:2025-03-28 08:08:55:219
ID:9943 SKID:AK1+222.5  timeStamp:2025-03-28 08:08:55:410
ID:9943 SKID:AK1+222.5  timeStamp:2025-03-28 08:08:55:591
ID:9943 SKID:AK1+222.5  timeStamp:2025-03-28 08:08:55:775
ID:9943 SKID:AK1+222.5  timeStamp:2025-03-28 08:08:55:959
ID:9943 SKID:AK1+222.5  timeStamp:2025-03-28 08:08:56:142
ID:9943 SKID:AK1+222.5  timeStamp:2025-03-28 08:08:56:321
ID:9943 SKID:AK1+222.5  timeStamp:2025-03-28 08:08:56:514
ID:9943 SKID:AK1+222.5  timeStamp:2025-03-28 08:08:56:696
ID:9943 SKID:AK1+222.5  timeStamp:2025-03-28 08:08:56:875
ID:9943 SKID:AK1+222.5  timeStamp:2025-03-28 08:08:57:77
ID:9943 SKID:AK1+222.5  timeStamp:2025-03-28 08:08:57:262
ID:9943 SKID:AK1+222.5  timeStamp:2025-03-28 08:08:57:447
ID:9943 SKID:AK1+222.5  timeStamp:2025-03-28 08:08:57:637
ID:9943 SKID:AK1+222.5  timeStamp:2025-03-28 08:08:57:820
ID:9943 SKID:AK1+222.5  timeStamp:2025-03-28 08:08:57:999
ID:9943 SKID:AK1+222.5  timeStamp:2025-03-28 08:08:58:178
ID:9943 SKID:AK1+222.5  timeStamp:2025-03-28 08:08:58:357
ID:9943 SKID:AK1+222.5  timeStamp:2025-03-28 08:08:58:540
ID:9943 SKID:AK1+222.5  timeStamp:2025-03-28 08:08:58:723
ID:9943 SKID:AK1+222.5  timeStamp:2025-03-28 08:08:58:898
ID:9943 SKID:AK1+222.5  timeStamp:2025-03-28 08:08:59:359
ID:9943 SKID:AK1+222.5  timeStamp:2025-03-28 08:08:59:624
ID:9943 SKID:AK1+222.5  timeStamp:2025-03-28 08:08:59:804
ID:9943 SKID:AK1+222.5  timeStamp:2025-03-28 08:08:59:989
ID:9943 SKID:AK1+222.5  timeStamp:2025-03-28 08:09:00:168
ID:9943 SKID:AK1+222.5  timeStamp:2025-03-28 08:09:00:345
ID:9943 SKID:AK1+222.5  timeStamp:2025-03-28 08:09:00:528
ID:9943 SKID:AK1+222.5  timeStamp:2025-03-28 08:09:00:700
ID:9943 SKID:AK1+222.5  timeStamp:2025-03-28 08:09:00:876
ID:9943 SKID:AK1+222.5  timeStamp:2025-03-28 08:09:01:50
ID:9943 SKID:AK1+222.5  timeStamp:2025-03-28 08:09:01:226
ID:9943 SKID:AK1+222.5  timeStamp:2025-03-28 08:09:01:410
ID:9943 SKID:AK1+222.5  timeStamp:2025-03-28 08:09:01:587
ID:9943 SKID:AK1+222.5  timeStamp:2025-03-28 08:09:01:764
ID:9943 SKID:AK1+222.5  timeStamp:2025-03-28 08:09:01:967
ID:9943 SKID:AK1+222.5  timeStamp:2025-03-28 08:09:02:144
ID:9943 SKID:AK1+222.5  timeStamp:2025-03-28 08:09:02:330
ID:9943 SKID:AK1+222.5  timeStamp:2025-03-28 08:09:02:506
ID:9943 SKID:AK1+222.5  timeStamp:2025-03-28 08:09:02:693
ID:9943 SKID:AK1+222.5  timeStamp:2025-03-28 08:09:02:872
ID:9943 SKID:AK1+222.5  timeStamp:2025-03-28 08:09:03:57
ID:9943 SKID:AK1+222.5  timeStamp:2025-03-28 08:09:03:240
ID:9943 SKID:AK1+222.5  timeStamp:2025-03-28 08:09:03:417
ID:9943 SKID:AK1+222.5  timeStamp:2025-03-28 08:09:03:599
ID:9943 SKID:AK1+222.5  timeStamp:2025-03-28 08:09:03:776
ID:9943 SKID:AK1+222.5  timeStamp:2025-03-28 08:09:03:963
ID:9943 SKID:AK1+222.5  timeStamp:2025-03-28 08:09:04:145
ID:9943 SKID:AK1+222.5  timeStamp:2025-03-28 08:09:04:327
ID:9943 SKID:AK1+222.5  timeStamp:2025-03-28 08:09:04:511
ID:9943 SKID:AK1+222.5  timeStamp:2025-03-28 08:09:04:695
ID:9943 SKID:AK1+222.5  timeStamp:2025-03-28 08:09:04:891
ID:9943 SKID:AK1+222.5  timeStamp:2025-03-28 08:09:05:73
ID:9943 SKID:AK1+222.5  timeStamp:2025-03-28 08:09:05:249
ID:9943 SKID:AK1+222.5  timeStamp:2025-03-28 08:09:05:430
ID:9943 SKID:AK1+222.5  timeStamp:2025-03-28 08:09:05:618
ID:9943 SKID:AK1+222.5  timeStamp:2025-03-28 08:09:05:802
ID:9943 SKID:AK1+222.5  timeStamp:2025-03-28 08:09:06:163
ID:9943 SKID:AK1+222.5  timeStamp:2025-03-28 08:09:05:989
ID:9943 SKID:AK1+222.5  timeStamp:2025-03-28 08:09:06:331
ID:9943 SKID:AK1+222.5  timeStamp:2025-03-28 08:09:06:499
ID:9943 SKID:AK1+222.5  timeStamp:2025-03-28 08:09:06:672
ID:9943 SKID:AK1+222.5  timeStamp:2025-03-28 08:09:06:850
ID:9943 SKID:AK1+222.5  timeStamp:2025-03-28 08:09:07:31
ID:9943 SKID:AK1+222.5  timeStamp:2025-03-28 08:09:07:205
ID:9943 SKID:AK1+222.5  timeStamp:2025-03-28 08:09:07:679
ID:9943 SKID:AK1+222.5  timeStamp:2025-03-28 08:09:07:916
ID:9943 SKID:AK1+222.5  timeStamp:2025-03-28 08:09:08:86
ID:9943 SKID:AK1+222.5  timeStamp:2025-03-28 08:09:08:254
ID:9943 SKID:AK1+222.5  timeStamp:2025-03-28 08:09:08:421
ID:9943 SKID:AK1+222.5  timeStamp:2025-03-28 08:09:08:591
ID:9943 SKID:AK1+222.5  timeStamp:2025-03-28 08:09:08:764
ID:9943 SKID:AK1+222.5  timeStamp:2025-03-28 08:09:08:938
ID:9943 SKID:AK1+222.5  timeStamp:2025-03-28 08:09:09:107
ID:9943 SKID:AK1+222.5  timeStamp:2025-03-28 08:09:09:294
ID:9943 SKID:AK1+222.5  timeStamp:2025-03-28 08:09:09:468
ID:9943 SKID:AK1+222.5  timeStamp:2025-03-28 08:09:09:637
ID:9943 SKID:AK1+222.5  timeStamp:2025-03-28 08:09:09:814
ID:9943 SKID:AK1+222.5  timeStamp:2025-03-28 08:09:09:986
ID:9943 SKID:AK1+222.5  timeStamp:2025-03-28 08:09:10:155
ID:9943 SKID:AK1+222.5  timeStamp:2025-03-28 08:09:10:324
ID:9943 SKID:AK1+222.5  timeStamp:2025-03-28 08:09:10:502
ID:9943 SKID:AK1+222.5  timeStamp:2025-03-28 08:09:10:675
ID:9943 SKID:AK1+222.5  timeStamp:2025-03-28 08:09:10:852
ID:9943 SKID:AK1+222.5  timeStamp:2025-03-28 08:09:11:34
ID:9943 SKID:AK1+222.5  timeStamp:2025-03-28 08:09:11:206
ID:9943 SKID:AK1+222.5  timeStamp:2025-03-28 08:09:11:374
ID:9943 SKID:AK1+222.5  timeStamp:2025-03-28 08:09:11:545
ID:9943 SKID:AK1+222.5  timeStamp:2025-03-28 08:09:11:712
ID:9943 SKID:AK1+222.5  timeStamp:2025-03-28 08:09:11:883
ID:9943 SKID:AK1+222.5  timeStamp:2025-03-28 08:09:12:51
ID:9943 SKID:AK1+222.5  timeStamp:2025-03-28 08:09:12:222
ID:9943 SKID:AK1+222.5  timeStamp:2025-03-28 08:09:12:392
ID:9943 SKID:AK1+222.5  timeStamp:2025-03-28 08:09:12:561
ID:9943 SKID:AK1+222.5  timeStamp:2025-03-28 08:09:12:728
ID:9943 SKID:AK1+222.5  timeStamp:2025-03-28 08:09:12:894
ID:9943 SKID:AK1+222.5  timeStamp:2025-03-28 08:09:13:61
ID:9943 SKID:AK1+222.5  timeStamp:2025-03-28 08:09:13:226
ID:9943 SKID:AK1+222.5  timeStamp:2025-03-28 08:09:13:398
ID:9943 SKID:AK1+222.5  timeStamp:2025-03-28 08:09:13:561
ID:9943 SKID:AK1+222.5  timeStamp:2025-03-28 08:09:13:721
ID:9943 SKID:AK1+222.5  timeStamp:2025-03-28 08:09:13:886
ID:9943 SKID:AK1+222.5  timeStamp:2025-03-28 08:09:14:51
ID:9943 SKID:AK1+222.5  timeStamp:2025-03-28 08:09:14:218
ID:9943 SKID:AK1+222.5  timeStamp:2025-03-28 08:09:14:378
ID:9943 SKID:AK1+222.5  timeStamp:2025-03-28 08:09:14:537
ID:9943 SKID:AK1+222.5  timeStamp:2025-03-28 08:09:14:693
ID:9943 SKID:AK1+222.5  timeStamp:2025-03-28 08:09:14:857
ID:9943 SKID:AK1+222.5  timeStamp:2025-03-28 08:09:15:16
ID:9943 SKID:AK1+222.5  timeStamp:2025-03-28 08:09:15:459
ID:9943 SKID:AK1+222.5  timeStamp:2025-03-28 08:09:15:691
ID:9943 SKID:AK1+222.5  timeStamp:2025-03-28 08:09:15:864
ID:9943 SKID:AK1+222.5  timeStamp:2025-03-28 08:09:16:31
ID:9943 SKID:AK1+222.5  timeStamp:2025-03-28 08:09:16:195
ID:9943 SKID:AK1+222.5  timeStamp:2025-03-28 08:09:16:358
ID:9943 SKID:AK1+222.5  timeStamp:2025-03-28 08:09:16:519
ID:9943 SKID:AK1+222.5  timeStamp:2025-03-28 08:09:16:689
ID:9943 SKID:AK1+222.5  timeStamp:2025-03-28 08:09:16:871
