ID:9961 SKID:AK0+398.5  timeStamp:2025-03-28 08:08:46:163
ID:9961 SKID:AK0+400.5  timeStamp:2025-03-28 08:08:46:338
ID:9961 SKID:AK0+402  timeStamp:2025-03-28 08:08:46:511
ID:9961 SKID:AK0+403.5  timeStamp:2025-03-28 08:08:46:688
ID:9961 SKID:AK0+405.5  timeStamp:2025-03-28 08:08:46:870
ID:9961 SKID:AK0+407  timeStamp:2025-03-28 08:08:47:40
ID:9961 SKID:AK0+408.5  timeStamp:2025-03-28 08:08:47:213
ID:9961 SKID:AK0+410  timeStamp:2025-03-28 08:08:47:395
ID:9961 SKID:AK0+412  timeStamp:2025-03-28 08:08:47:562
ID:9961 SKID:AK0+414  timeStamp:2025-03-28 08:08:47:734
ID:9961 SKID:AK0+415  timeStamp:2025-03-28 08:08:47:902
ID:9961 SKID:AK0+417  timeStamp:2025-03-28 08:08:48:87
ID:9961 SKID:AK0+418  timeStamp:2025-03-28 08:08:48:274
ID:9961 SKID:AK0+420  timeStamp:2025-03-28 08:08:48:464
ID:9961 SKID:AK0+421.5  timeStamp:2025-03-28 08:08:48:646
ID:9961 SKID:AK0+423.5  timeStamp:2025-03-28 08:08:48:838
ID:9961 SKID:AK0+425  timeStamp:2025-03-28 08:08:49:06
ID:9961 SKID:AK0+426.5  timeStamp:2025-03-28 08:08:49:176
ID:9961 SKID:AK0+428  timeStamp:2025-03-28 08:08:49:356
ID:9961 SKID:AK0+430  timeStamp:2025-03-28 08:08:49:521
ID:9961 SKID:AK0+431.5  timeStamp:2025-03-28 08:08:49:697
ID:9961 SKID:AK0+433.5  timeStamp:2025-03-28 08:08:49:867
ID:9961 SKID:AK0+435  timeStamp:2025-03-28 08:08:50:47
ID:9961 SKID:AK0+436.5  timeStamp:2025-03-28 08:08:50:217
ID:9961 SKID:AK0+438  timeStamp:2025-03-28 08:08:50:393
ID:9961 SKID:AK0+440  timeStamp:2025-03-28 08:08:50:575
ID:9961 SKID:AK0+441.5  timeStamp:2025-03-28 08:08:50:746
ID:9961 SKID:AK0+443  timeStamp:2025-03-28 08:08:51:201
ID:9961 SKID:AK0+445  timeStamp:2025-03-28 08:08:51:447
ID:9961 SKID:AK0+446.5  timeStamp:2025-03-28 08:08:51:618
ID:9961 SKID:AK0+448  timeStamp:2025-03-28 08:08:51:786
ID:9961 SKID:AK0+449.5  timeStamp:2025-03-28 08:08:51:952
ID:9961 SKID:AK0+451.5  timeStamp:2025-03-28 08:08:52:123
ID:9961 SKID:AK0+453.5  timeStamp:2025-03-28 08:08:52:290
ID:9961 SKID:AK0+455  timeStamp:2025-03-28 08:08:52:462
ID:9961 SKID:AK0+456.5  timeStamp:2025-03-28 08:08:52:639
ID:9961 SKID:AK0+458  timeStamp:2025-03-28 08:08:52:820
ID:9961 SKID:AK0+460  timeStamp:2025-03-28 08:08:53:01
ID:9961 SKID:AK0+461.5  timeStamp:2025-03-28 08:08:53:190
ID:9961 SKID:AK0+463  timeStamp:2025-03-28 08:08:53:372
ID:9961 SKID:AK0+464.5  timeStamp:2025-03-28 08:08:53:550
ID:9961 SKID:AK0+466.5  timeStamp:2025-03-28 08:08:53:736
ID:9961 SKID:AK0+468  timeStamp:2025-03-28 08:08:53:928
ID:9961 SKID:AK0+470  timeStamp:2025-03-28 08:08:54:113
ID:9961 SKID:AK0+471.5  timeStamp:2025-03-28 08:08:54:293
ID:9961 SKID:AK0+473  timeStamp:2025-03-28 08:08:54:482
ID:9961 SKID:AK0+474.5  timeStamp:2025-03-28 08:08:54:667
ID:9961 SKID:AK0+476.5  timeStamp:2025-03-28 08:08:54:854
ID:9961 SKID:AK0+478  timeStamp:2025-03-28 08:08:55:38
ID:9961 SKID:AK0+480  timeStamp:2025-03-28 08:08:55:219
ID:9961 SKID:AK0+481.5  timeStamp:2025-03-28 08:08:55:410
ID:9961 SKID:AK0+483  timeStamp:2025-03-28 08:08:55:591
ID:9961 SKID:AK0+485  timeStamp:2025-03-28 08:08:55:775
ID:9961 SKID:AK0+486.5  timeStamp:2025-03-28 08:08:55:959
ID:9961 SKID:AK0+488  timeStamp:2025-03-28 08:08:56:142
ID:9961 SKID:AK0+490  timeStamp:2025-03-28 08:08:56:321
ID:9961 SKID:AK0+491.5  timeStamp:2025-03-28 08:08:56:514
ID:9961 SKID:AK0+493  timeStamp:2025-03-28 08:08:56:696
ID:9961 SKID:AK0+494.5  timeStamp:2025-03-28 08:08:56:875
ID:9961 SKID:AK0+496.5  timeStamp:2025-03-28 08:08:57:77
ID:9961 SKID:AK0+498  timeStamp:2025-03-28 08:08:57:262
ID:9961 SKID:AK0+499.5  timeStamp:2025-03-28 08:08:57:447
ID:9961 SKID:AK0+501  timeStamp:2025-03-28 08:08:57:637
ID:9961 SKID:AK0+503  timeStamp:2025-03-28 08:08:57:820
ID:9961 SKID:AK0+504.5  timeStamp:2025-03-28 08:08:57:999
ID:9961 SKID:AK0+506.5  timeStamp:2025-03-28 08:08:58:178
ID:9961 SKID:AK0+508  timeStamp:2025-03-28 08:08:58:357
ID:9961 SKID:AK0+510  timeStamp:2025-03-28 08:08:58:540
ID:9961 SKID:AK0+511.5  timeStamp:2025-03-28 08:08:58:723
ID:9961 SKID:AK0+513  timeStamp:2025-03-28 08:08:58:898
ID:9961 SKID:AK0+514.5  timeStamp:2025-03-28 08:08:59:359
ID:9961 SKID:AK0+516  timeStamp:2025-03-28 08:08:59:624
ID:9961 SKID:AK0+517.5  timeStamp:2025-03-28 08:08:59:804
ID:9961 SKID:AK0+519.5  timeStamp:2025-03-28 08:08:59:989
ID:9961 SKID:AK0+521.5  timeStamp:2025-03-28 08:09:00:168
ID:9961 SKID:AK0+523  timeStamp:2025-03-28 08:09:00:345
ID:9961 SKID:AK0+524  timeStamp:2025-03-28 08:09:00:528
ID:9961 SKID:AK0+526  timeStamp:2025-03-28 08:09:00:700
ID:9961 SKID:AK0+528  timeStamp:2025-03-28 08:09:00:876
ID:9961 SKID:AK0+529.5  timeStamp:2025-03-28 08:09:01:50
ID:9961 SKID:AK0+531  timeStamp:2025-03-28 08:09:01:226
ID:9961 SKID:AK0+532.5  timeStamp:2025-03-28 08:09:01:410
ID:9961 SKID:AK0+534.5  timeStamp:2025-03-28 08:09:01:587
ID:9961 SKID:AK0+536  timeStamp:2025-03-28 08:09:01:764
